Tên chi nhánh,Mã số thuế,Tên CEO,Địa chỉ chi nhánh,Tên HO,Tỉnh,business
CÔNG TY TƯ VẤN ĐẦU TƯ ĐIỆN - THAN,5700100256-003,Nguyễn Thành Sơn,108 Lê duẩn - - Quận Đống đa - Hà Nội.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
TRUNG TÂM GIAO DỊCH THAN VIỆT NAM,5700100256-009,Phạm Trung Hưng,108 Lê Duẩn Phường trung phụng - - Quận Đống đa - Hà Nội.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,Dịch vụ lưu trú
CÔNG TY PHÁT TRIỂN TIN HỌC CÔNG NGHỆ VÀ MÔI TRƯỜNG,5700100256-015,Nguyễn Mạnh Điệp,226 Lê Duẩn - - Quận Đống đa - Hà Nội.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,"Lập trình máy vi tính, dịch vụ tư vấn và các hoạt động khác liên quan đến máy vi tính"
C/N TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM - CÔNG TY KD BẤT ĐỘNG SẢN - TKV,5700100256-038,Đặng Quốc Hùng,"Số 226, Lê Duẩn, phường trung phụng - - Quận Đống đa - Hà Nội.",Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,"Khai thác đá, cát, sỏi, đất sét"
CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP THAN – KHOÁNG SẢN VIỆT NAM - BAN QUẢN LÝ DỰ ÁN TÒA NHÀ VINACOMIN TẠI TP HỒ CHÍ MINH,5700100256-052,PHÙNG TÂN CƯƠNG,"Số 2W Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Tập đoàn Công nghiệp than khoáng sản Việt Nam,TP Hồ Chí Minh,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan
KHO HÀNG VT DỰ TRỮ TT TẠI C.TY CP ĐẦU TƯ TM,5700100256-069,Đặng Thanh Hải,Số 10 Hồ Xuân Hương - - Quận Hồng Bàng - Hải Phòng.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hải Phòng,
CHI NHÁNH TỔNG CÔNG TY LƯƠNG THỰC MIỀN BẮC,0100102608-001,NGUYỄN DỤC HINH,"Tòa nhà NNC, số 16Bis, đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tổng công ty lương thực miền Bắc,TP Hồ Chí Minh,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống"
CTY KINH DOANH BAO BÌ LƯƠNG THỰC,0100102608-002,Trần Đức Quân,Lô 3 Đường D KCN Tân Tạo P.Tân Tạo A - - Quận Bình Tân - TP Hồ Chí Minh.,Tổng công ty lương thực miền Bắc,TP Hồ Chí Minh,Sản xuất thực phẩm khác chưa được phân vào đâu
CÔNG TY CHẾ BIẾN KINH DOANH LƯƠNG THỰC - THỰC PHẨM HÀ NỘI,0100102608-003,Phùng Ngọc Quý,Số 67A Trương Định - - Quận Hai Bà Trưng - Hà Nội.,Tổng công ty lương thực miền Bắc,Hà Nội,Sản xuất đồ uống
NHÀ MÁY CHẾ BIẾN GẠO PHÚ AN,0100102608-023,Quách Vũ Khương,"Số 126A, ấp Hưng Lợi Đông - Xã Long Hưng B - Huyện Lấp Vò - Đồng Tháp.",Tổng công ty lương thực miền Bắc,Đồng Tháp,
CHI NHÁNH CTY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ TRUYỀN HÌNH VN,0100110006-008,Đàm Quốc Hưng,171 Lý Chính Thắng-P.07 - - Quận 3 - TP Hồ Chí Minh.,Tổng Công ty VTC,TP Hồ Chí Minh,Bán buôn chuyên doanh khác
TRUNG TÂM TRUYỀN HÌNH KỸ THUẬT SỐ VTC TẠI TPHCM,0100110006-019,Đỗ Thị Minh Hương,27 Nguyễn Bỉnh Khiêm P.Đakao - Phường Đa Kao - Quận 1 - TP Hồ Chí Minh.,Tổng Công ty VTC,TP Hồ Chí Minh,"Hoạt động phát thanh, truyền hình"
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH CẦN THƠ - PHÒNG GIAO DỊCH TRÀ NÓC,6300048638-017,ĐỒNG PHÚ THANH,"A1, tổ 7, khu vực 4, Lê Hồng Phong, Phường Trà Nóc, Quận Bình Thuỷ, Thành phố Cần Thơ, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ PHÒNG GIAO DỊCH THỐT NỐT,6300048638-018,NGUYỄN TRỌNG NHÂN,"Khu vực Phụng Thạnh 1, Phường Thốt Nốt, Quận Thốt Nốt, Thành phố Cần Thơ, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - PHÒNG GIAO DỊCH PHÚ NHUẬN,6300048638-021,ĐẶNG XUÂN BẢO,"168 Phan Xích Long, Phường 02, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH LONG BIÊN,6300048638-022,NGUYỄN THỊ LIÊN,"Số 15, đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - PHÒNG GIAO DỊCH NAM SÀI GÒN,6300048638-023,NGUYỄN VĂN NHUẦN,"Tầng 1, tầng lửng, tầng 2, tầng 3, 480C Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT-VĂN PHÒNG ĐẠI DIỆN NGÂN HÀNG BƯU ĐIỆN LIÊN VIỆT KHU VỰC PHÍA NAM,6300048638-039,NGUYỄN QUÝ CHIẾN,"2A Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,Hoạt động trung gian tiền tệ khác
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH LAI CHÂU,6300048638-073,VŨ TRỌNG LƯỢNG,"Tổ 10, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Lai Châu,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH XUÂN MAI,6300048638-081,ĐOÀN QUANG HƯNG,"Số nhà 20, tổ 2, khu Tân Xuân, Thị Trấn Xuân Mai, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH NHÀ BÈ,6300048638-082,LÊ VIẾT DIỆP,"Số 511A Huỳnh Tấn Phát, khu phố 7, Thị Trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ - PHÒNG GIAO DỊCH BƯU ĐIỆN THỐT NỐ,6300048638-090,,Số 24 đường Lê Thị Tạo - Phường Thốt Nốt - Quận Thốt Nốt - Cần Thơ.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ - PHÒNG GIAO DỊCH BƯU ĐIỆN CẦN THƠ,6300048638-094,,Số 02 đường Hòa Bình - Phường An Hội - Quận Ninh Kiều - Cần Thơ.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ - PHÒNG GIAO DỊCH BƯU ĐIỆN Ô MÔN,6300048638-098,,Số 01 đường 3 Tháng 2 - Phường Châu Văn Liêm - Quận Ô Môn - Cần Thơ.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ-PHÒNG GIAO DỊCH BƯU ĐIỆN HƯNG LỢI,6300048638-099,,Số 190 đường 30 Tháng 4 - Phường Hưng Lợi - Quận Ninh Kiều - Cần Thơ.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ - PHÒNG GIAO DỊCH BƯU ĐIỆN CỜ ĐỎ,6300048638-100,,ấp Thới Hòa A - Thị trấn Cờ Đỏ - Huyện Cờ Đỏ - Cần Thơ.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN HẢI,6300048638-101,Phạm Doãn Sơn,Số 05 Nguyễn Tri Phương - Phường Minh Khai - Quận Hồng Bàng - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN HỒN,6300048638-102,Phạm Doãn Sơn,Số 36 phố Quang Trung - Phường Quang Trung - Quận Hồng Bàng - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN CHỢ,6300048638-103,Phạm Doãn Sơn,Thôn Câu Hạ - Xã Quang Trung - Huyện An Lão - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN NGÔ,6300048638-104,Phạm Doãn Sơn,Số 3 Võ Thị Sáu - Phường Máy Tơ - Quận Ngô Quyền - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN QUÁ,6300048638-105,Phạm Doãn Sơn,Số 116 đường Lê Duẩn - Phường Quán Trữ - Quận Kiến An - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN ĐỒ,6300048638-106,Phạm Doãn Sơn,Số 85 Lý Thánh Tông - Phường Vạn Sơn - Quận Đồ Sơn - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN VẠN,6300048638-107,Phạm Doãn Sơn,Số 343 Đà Nẵng - Phường Vạn Mỹ - Quận Ngô Quyền - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Đà Nẵng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN THU,6300048638-108,Phạm Doãn Sơn,Số 05 đường Đà Nẵng - Thị trấn Núi Đèo - Huyện Thuỷ Nguyên - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Đà Nẵng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN LÊ,6300048638-109,Phạm Doãn Sơn,Số 67 Trần Nguyên Hãn - Phường Cát Dài - Quận Lê Chân - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN AN,6300048638-110,Phạm Doãn Sơn,Số 27 đường Lê Lợi - Thị trấn An Lão - Huyện An Lão - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN AN,6300048638-111,Phạm Doãn Sơn,"Số 10, đường 351, khu phố 4 - Thị trấn An Dương - Huyện An Dương - Hải Phòng.",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN TIÊ,6300048638-112,Phạm Doãn Sơn,Khu 7 phố Minh Đức - Thị trấn Tiên Lãng - Huyện Tiên Lãng - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN VĨN,6300048638-113,Phạm Doãn Sơn,Số 129 phố Đông Thái - Thị trấn Vĩnh Bảo - Huyện Vĩnh Bảo - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN HÀN,6300048638-114,Phạm Doãn Sơn,Số 125 Lạch Tray - Phường Lạch Tray - Quận Ngô Quyền - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN NAM,6300048638-115,Phạm Doãn Sơn,Thôn Nam Am - Xã Tam Cường - Huyện Vĩnh Bảo - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN KIẾ,6300048638-116,Phạm Doãn Sơn,Số 2 Phan Đăng Lưu - Phường Trần Thành Ngọ - Quận Kiến An - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN KIẾ,6300048638-117,Phạm Doãn Sơn,Số 03 đường Cẩm Xuân - Thị trấn Núi Đối - Huyện Kiến Thuỵ - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN CÁT,6300048638-118,Phạm Doãn Sơn,Số 18 đường 1/4 - Thị trấn Cát Bà - Huyện Cát Hải - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH BƯU ĐIỆN HÙN,6300048638-119,Phạm Doãn Sơn,Thôn 7 - Xã Hùng Thắng - Huyện Tiên Lãng - Hải Phòng.,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT-CHI NHÁNH ĐỒNG NAI - PHÒNG GIAO DỊCH ĐỒNG KHỞI,6300048638-120,Phạm Doãn Sơn,"Số 2/21A-2/22, Đường Đồng Khởi, KP 6 - Phường Tam Hiệp - Thành phố Biên Hoà - Đồng Nai.",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Đồng Nai,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH CẨM THỦY,6300048638-121,LÊ VĂN TRUNG,"Số nhà 99 Tổ dân phố Tân An, Thị Trấn Phong Sơn, Huyện Cẩm Thuỷ, Tỉnh Thanh Hoá, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Thanh Hoá,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH BỈM SƠN,6300048638-122,LƯU ANH TUẤN,"Số nhà 65 - 67 đường Trần Phú, khu phố 3, Phường Ba Đình, Thị xã Bỉm Sơn, Tỉnh Thanh Hoá, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Thanh Hoá,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH HỒNG LĨNH,6300048638-123,NGUYỄN ĐỨC LONG,"Số 21 -22, đường Trần Phú, tổ dân phố 8, Phường Bắc Hồng, Thị xã Hồng Lĩnh, Tỉnh Hà Tĩnh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hà Tĩnh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH BẢO LỘC,6300048638-124,LÊ KIM TÙNG,"Số nhà 292 đường Trần Phú, Phường 1, Thành phố Bảo Lộc, Tỉnh Lâm Đồng, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Lâm Đồng,
NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI - CHI NHÁNH PHÚ NHUẬN - PHÒNG GIAO DỊCH PHAN VĂN TRỊ,1800278630-027,LÝ QUANG THẠCH,"Số 749 Phan Văn Trị, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH BẾN CÁT,1800278630-028,HOÀNG TRẦN TRÂM ANH,"181 Đường Hùng Vương, Khu phố 1, Phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Bình Dương,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH THỦ DẦU MỘT,1800278630-029,PHAN HẠ DU,"Số 13, đường Hùng Vương, tổ 23, khu phố 4, Phường Phú Cường, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Bình Dương,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH SÓNG THẦN,1800278630-030,LÊ QUỐC TIẾN,"137-137A đường Lê Trọng Tấn, KDC Bình Đường 2, khu phố Bình Đường 2, Phường An Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Bình Dương,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH PHƯỚC VĨNH,1800278630-031,NGUYỄN TRUNG CÔNG,"Số 34 Đại lộ Độc Lập, Khu phố 2, Thị Trấn Phước Vĩnh, Huyện Phú Giáo, Tỉnh Bình Dương, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Bình Dương,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH TÂN PHƯỚC KHÁNH,1800278630-032,TRẦN THÁI TƯỜNG LINH,"Thửa đất số 655 và Thửa đất số 656, Tờ bản đồ số 25, Đường ĐT 746, Tổ 3, Khu phố Bình Hòa, Phường Tân Phước Khánh, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Bình Dương,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH QUẢNG NAM, PHÒNG GIAO DỊCH ĐIỆN BÀN",1800278630-033,VÕ HỮU NHẬT,"Tổ 3, khối phố 1, Thị Trấn Vĩnh Điện, Thị xã Điện Bàn, Tỉnh Quảng Nam, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Quảng Nam,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH VĂN CAO,1800278630-035,PHẠM CÔNG THẮNG,"Số 125 Văn Cao, Phường Đằng Giang, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hải Phòng,
PHÒNG GIAO DỊCH SHB ĐỒNG KHỞI,1800278630-038,TRIỆU QUANG BẮC,"Số 93/38, đường Đồng Khởi, Phường Tân Phong, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đồng Nai,
"NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH LÊ ĐỨC THỌ",1800278630-039,NGUYỄN THU HƯƠNG,"Lô số A1 - 8 đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH ĐÀO TẤN",1800278630-040,PHẠM NHẬT HUY,"Số 27 phố Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH ĐỐNG ĐA",1800278630-041,ĐOÀN VĂN KHÔI,"Số 434, phố Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH TRUNG KÍNH",1800278630-042,TRỊNH THỊ THU HÀ,"Số 150 đường Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH NGUYỄN HUỆ",1800278630-043,PHẠM MẠNH THẮNG,"Thửa 43+44 Khu tập thể Công ty Vật tư Tổng hợp, đường Tô Hiệu, Phường Quang Trung, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH TÂY SƠN",1800278630-044,NGUYỄN MẠNH QUÂN,"Số 350, phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH LẠC LONG QUÂN",1800278630-045,NGUYỄN LÊ MINH,"Số 341, đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH HƯNG YÊN, PHÒNG GIAO DỊCH PHỐ HIẾN",1800278630-046,LÊ TUẤN ANH,"Số 279 đường Điện Biên, Phường Quang Trung, Thành phố Hưng yên, Tỉnh Hưng Yên, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hưng Yên,
