,Công ty 1,Thông tin hoá đơn,Công ty 2,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên quốc tế,Tên viết tắt
10,0311442875 - CÔNG TY CỔ PHẦN TÔN THÉP THIÊN TÂN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JOINT STOCK COMPANY,MISA JSC
11,0104918404-013 - CHI NHÁNH ĐỒNG THÁP - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY TNHH HỆ THỐNG THÔNG TIN FPT.,0104128565 - CÔNG TY TNHH HỆ THỐNG THÔNG TIN FPT,0104128565,"Tầng 22 tòa nhà Keangnam Landmark72, E6 đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",DƯƠNG DŨNG TRIỀU,02435626000,2009-08-13,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,FPT INFORMATION SYSTEM CORPORATION,"FIS.,CORP"
12,1402034963 - CÔNG TY TNHH HƯƠNG LAN ĐỒNG THÁP,,,,,,,,,,,,,
13,0314137132 - CÔNG TY TNHH BÊ TÔNG NHỰA NÓNG ANCO,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JOINT STOCK COMPANY,MISA JSC
14,1402045299 - PHAN THỊ BÉ THI,,,,,,,,,,,,,
15,0900181528 - QUỸ TÍN DỤNG NHÂN DÂN XÃ HỒNG QUANG,,,,,,,,,,,,,
16,0900267662 - TRƯỜNG CAO ĐẲNG Y KHOA PHẠM NGỌC THẠCH,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
17,0900227187 - QUỸ TÍN DỤNG NHÂN DÂN BẠCH SAM,,,,,,,,,,,,,
18,0900217929-001 - Chi nhánh Công ty TNHH Khải Hoàn tại thành phố Hưng Yên,,,,,,,,,,,,,
19,0900243950-002 - XÍ NGHIỆP KTCT THỦY LỢI HUYỆN TIÊN LỮ - CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN KTCT THỦY LỢI TỈNH HƯNG YÊN,,,,,,,,,,,,,
20,0900246782 - CÔNG TY TNHH TIẾN NGẠN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE
21,0900286231 - CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TOÀN PHÁT,,,,,,,,,,,,,
22,0900433704 - CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TIẾN MẠNH,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH TIN CẬY VIỆT.,0101624477 - CÔNG TY TNHH TIN CẬY VIỆT,0101624477,"Số 389, đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam","CHỬ VĂN THANH
Ngoài ra CHỬ VĂN THANH còn đại diện các doanh nghiệp:
DOANH NGHIỆP TƯ NHÂN IN ĐÔNG Á",02439329012,2005-03-21,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm",TIN CAY VIET COMPANY LIMITED,"TCV CO .,LTD"
23,0900995083 - CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN LẠC HỒNG PHÚC,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN.,0101300842 - CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN,0101300842,"Số 362 Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","NGUYỄN VĂN KHIÊM
Ngoài ra NGUYỄN VĂN KHIÊM còn đại diện các doanh nghiệp:
THÁI SƠN - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-09-19,Chi cục Thuế Quận Hai Bà Trưng,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh",THAI SON TECHNOLOGY DEVELOPMENT COMPANY LIMITED,"TSD CO.,LTD"
24,0900287926 - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ HÙNG ĐĂNG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,BKAV CORPORATION,
25,0900286506 - CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HOÀNG HƯNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH VIỆT NAM SÁNG TẠO.,0101303681 - CÔNG TY TNHH VIỆT NAM SÁNG TẠO,0101303681,"Số 16, ngõ 69/15, phố Ái Mộ, tổ 10, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, Việt Nam",BÙI HUY THUẬN,02438720910,2002-10-31,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,VIET NAM CREATIVE COMPANY LIMITED,"vcc co., ltd"
26,0900284040 - CÔNG TY TNHH SHINEI SEIKO VIỆT NAM,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,BKAV CORPORATION,
27,0900198232 - CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN NÔNG NGHIỆP VŨ HƯNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS..,0105419528 - CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS.,0105419528,"Tầng 9 Tòa nhà Leadvisors Place 41A Lý Thái Tổ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam","LÊ MINH THÀNH
Ngoài ra LÊ MINH THÀNH còn đại diện các doanh nghiệp:
CÔNG TY TNHH COMPLEX PHƯƠNG BẮC
CÔNG TY CỔ PHẦN GIA HÂN
CÔNG TY CỔ PHẦN 18 - 4 HÀ NỘI
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VIỆT BẮC
CÔNG TY CỔ PHẦN LEADVISORS IB
ĐỊA ĐIỂM KINH DOANH - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VIỆT BẮC
CÔNG TY CỔ PHẦN EDUCATION DEVELOPMENT OF VIET NAM
CÔNG TY CỔ PHẦN HÀ NỘI BUFFALOES
CÔNG TY TNHH MAY MẶC 18-4 HÀ NỘI
CÔNG TY CỔ PHẦN IDS PQ
CÔNG TY CỔ PHẦN NHA TRANG EDEN BAY
CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS.
CHI NHÁNH CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS.",0439428154/ 0438221,2011-07-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu,IDS EQUITY HOLDINGS JOINT STOCK COMPANY,IDS JSC
28,0900615976 - CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI THÀNH PHÁT HƯNG YÊN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ HOÀNG QUÂN.,0305575517 - CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ HOÀNG QUÂN,0305575517,"89 Trần Trọng Cung , Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",BÙI THỊ HẢI YẾN ( sinh năm 1978 - Hà Tĩnh) Ẩn thông tin,0933040404,2008-01-24,Chi cục Thuế khu vực Quận 7 - huyện Nhà Bè,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Vận tải hành khách đường bộ khác,HOANG QUAN SERVICE TRADING INVESTMENT CONSULTANT JOINT STOCK COMPANY,HOANG QUAN STIC JSC
29,0900217485 - CÔNG TY TNHH SẢN XUẤT ĐỒ GỖ ANH VÀ EM,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN TÀI CHÍNH.,0100111225 - CÔNG TY CỔ PHẦN IN TÀI CHÍNH,0100111225,"Lô 38-2, Khu công nghiệp Quang Minh, Thị Trấn Quang Minh, Huyện Mê Linh, Thành phố Hà Nội, Việt Nam","TRƯƠNG THỊ DINH
Ngoài ra TRƯƠNG THỊ DINH còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN IN TÀI CHÍNH
CÔNG TY CỔ PHẦN IN TÀI CHÍNH
CÔNG TY CỔ PHẦN CÔNG NGHỆ BON TECH",0437555045,2010-10-18,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,FINANCE PRINTING JOINT STOCK COMPANY,
30,0900274483 - CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI VÀ SẢN XUẤT HƯNG HÀ,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN HÀ NỘI.,0101181842 - CÔNG TY CỔ PHẦN IN HÀ NỘI,0101181842,"Lô 6B CN5 cụm công nghiệp Ngọc Hồi, Xã Ngọc Hồi, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam",NGUYỄN THỊ OANH,0439437063,2001-10-15,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,HANOI PRINTING JOINT STOCK COMPANY,"HANOI PRINTING.,JSC"
31,0900291993 - CÔNG TY TNHH DỊCH VỤ VẬN TẢI HƯƠNG DŨNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VÀ THƯƠNG MẠI HƯNG YÊN.,0900179014 - CÔNG TY CỔ PHẦN IN VÀ THƯƠNG MẠI HƯNG YÊN,0900179014,"Số 60 Phạm Ngũ Lão, Phường Quang Trung, Thành phố Hưng yên, Tỉnh Hưng Yên, Việt Nam","HỒ TRỌNG KHẢI ( sinh năm 1960 - Hưng Yên) Ẩn thông tin
Ngoài ra HỒ TRỌNG KHẢI còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN DU LỊCH VÀ KHÁCH SẠN PHỐ HIẾN
CÔNG TY CỔ PHẦN VIỆT LONG HƯNG YÊN",0221 3866685,2010-06-23,Cục Thuế Tỉnh Hưng Yên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Dịch vụ lưu trú ngắn ngày,HUNG YEN TRADE AND PRINTING JOINT STOCK COMPANY,
32,0900623310 - CÔNG TY TNHH THANH HƯNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,"VIET CUONG MAR & PRINTING CO.,LTD"
33,0900611717 - CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HOÀNG TÙNG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,BKAV CORPORATION,
