STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
4,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,,"Tầng 2, TN Capital Tower - 109 Trần Hưng Đạo-q.Hoàn Kiếm - Hà nội",6300048638,Hà Nội,LPB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LPB
5,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,,"Số 11 Hàn Thuyên, Phạm đình Hổ, Hai Bà Trưng, Hà Nội - Phòng Kế toán",1800278630,Hà Nội,SHB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHB
6,Ngân hàng TMCP Quốc dân,,"Số 28C-D Bà Triệu, P. Hàng Bài, Q.Hoàn Kiếm, Hà Nội",1700169765,Hà Nội,NVB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NVB
12,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,,"Tòa nhà Sofic, 10 Mai Chí Thọ, P Thủ Thiêm Thủ Đức, TP. Hồ Chí Minh, Việt Nam",3600252847,TP Hồ Chí Minh,THA,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=THA
13,CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,," Lô T2-1.2 đường D1, Khu Công Nghệ Cao, Phường Tân Phú, Quận 9,",0306731335,TP Hồ Chí Minh,MWG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MWG
14,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,,170E Phan Đăng Lưu - Phường 3 - Quận Phú Nhuận - TP. Hồ Chí Minh,0300521758,TP Hồ Chí Minh,PNJ,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PNJ
15,CÔNG TY CP THẾ GIỚI SỐ,,"Số 195 – 197 Đường Nguyễn Thái Bình - P. Nguyễn Thái Bình - Q.1, Tp. Hồ Chí Minh",0302861742,TP Hồ Chí Minh,DWG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DWG
16,NGÂN HÀNG TMCP VIỆT Á,,"119-121 Đ. Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",0302963695,TP Hồ Chí Minh,VAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VAB
17,CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,,"2W Ung Văn Khiêm, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh",0303104343,TP Hồ Chí Minh,DXG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DXG
18,CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,,253 Hoàng Văn Thụ - P. 2 - Q. Tân Bình - Tp. Hồ Chí Minh,0303315400,TP Hồ Chí Minh,SCR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCR
19,CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),,Sân bay Quốc tế Tân Sơn Nhất - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,0301123125,TP Hồ Chí Minh,SAS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAS
33,Tập đoàn Xăng dầu Việt Nam,,"Số 1 Khâm Thiên. Phường Khâm Thiên, Quận Đống Đa,Hà Nội",0100107370,Hà Nội,PLX,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PLX
36,Tập đoàn Dầu khí Việt Nam,,"Tòa nhà Viện Dầu khí Việt Nam, số 167 đường Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",0102276173,Hà Nội,POW,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=POW
39,Tổng công ty Hàng không Việt Nam,,"Số 200, Phố Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, TP Hà Nội, Việt Nam",0100107518,Hà Nội,HVN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HVN
43,Tổng công ty Lâm nghiệp Việt Nam,,127 Lò Đúc - Phường Đống Mác - Quận Hai Bà Trưng - Thành Phố Hà Nội,0100102012,Hà Nội,VIF,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIF
44,Công ty Cổ phần Tổng Công ty Truyền hình cáp Việt Nam,,Tòa nhà VTV - Số 3/84 đường Ngọc Khánh - P.Giảng Võ- Q.Ba Đình - TP.Hà Nội,0105926285,Hà Nội,CAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CAB
51,Tổng công ty Thép Việt Nam - CTCP,,"Số 91 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội, Vietnam",0100100047,Hà Nội,TVN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TVN
52,Ngân hàng TMCP Kỹ Thương Việt Nam,,"Số 191 phố Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội",0100230800,Hà Nội,TCB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TCB
53,Ngân hàng TMCP Công thương Việt Nam,,"108 Trần Hưng Đạo,Quận Hoàn Kiếm,Hà Nội",0100111948,Hà Nội,CTG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTG
54,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,"35 Hàng Vôi,phường Lý Thái Tổ, quận Hoàn Kiếm, TP Hà Nội",0100150619,Hà Nội,BID,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BID
55,Ngân hàng TMCP Hàng hải Việt Nam,,"Tâng 29, TNR Tower,54A Nguyễn Chí Thanh, Đống Đa, HN",0200124891,Hà Nội,MSB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSB
57,Ngân hàng Thương mại Cổ phần Tiên Phong,,"Tòa nhà TPBank, số 57, phố Lý Thường Kiệt, phường Trần Hưng Đạo, quận Hoàn Kiếm, TP Hà Nội",0102744865,Hà Nội,TPB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TPB
58,Ngân hàng TMCP Quân đội Việt Nam,,"Số 21 Cát Linh, Phường Cát Linh, Quận Đống Đa, Thành phố Hà Nội",0100283873,Hà Nội,MBB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MBB
59,Ngân hàng TMCP Việt Nam Thịnh Vượng,,Tầng 19 số 89 Láng Hạ Đống Đa. HN,0100233583,Hà Nội,VPB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VPB
60,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,,"Tầng 7 Toà nhà Corner Stone, 16 Phan Chu Trinh, P.Phan Chu Trinh, Q.Hoàn Kiếm, Hà Nội.",0100233488,Hà Nội,VIB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIB
62,Ngân hàng TMCP Ngoại thương Việt Nam,,"Tầng 7, tòa nhà Vietcombank, 198 Trần Quang Khải, Hà Nội",0100112437,Hà Nội,VCB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VCB
63,Ngân hàng Thương mại Cổ phần Đông Nam á,,"25 Trần Hưng Đạo, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",0200253985,Hà Nội,SSB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SSB
69,Ngân hàng Thương mại TNHH MTV Dầu khí Toàn Cầu,,"Tòa nhà capital tower , 109 Trần Hưng Đạo, P Cửa Nam, Q Hoàn Kiếm , TP Hà Nội, VN",2700113651,Hà Nội,PGB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGB
70,Ngân hàng TMCP xăng dầu Petrolimex,,"Tầng 21, tòa nhà MIPEC Tower, số 229 Tây Sơn, quận Đống Đa, TP Hà Nội",0100110768,Hà Nội,PGI,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGI
75,Tổng công ty Cổ phần bảo hiểm Bưu điện,,"Tầng 8, Toà nhà số 4A Láng Hạ, Quận Ba Đình,Thành Phố Hà Nội",0100774631,Hà Nội,PTI,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PTI
78,Tập đoàn Bảo Việt,,"Số 72, phố Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",0100111761,Hà Nội,BVH,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BVH
81,Công ty cổ phần chứng khoán SSI,,1C Ngô Quyền - Phường Lý Thái Tổ - Quận Hoàn Kiếm Thành Phố Hà Nội,0301955155,Hà Nội,SSI,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SSI
83,Công ty cổ phần chứng khoán VNDIRECT,,Số 1 Nguyễn THượng Hiền- Hai Bà Trưng -Hà Nội,0102065366,Hà Nội,VND,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VND
84,Công ty Cổ phần chứng khoán MB,,"Tầng M-3-7 Số 03 Liễu Giai, Phường Liễu Giai, Quận Ba Đình, TP.Hà Nội",0106393583,Hà Nội,MBS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MBS
85,Tập đoàn Vingroup - Công ty CP,,"Số 7, đường Bằng Lăng 1,KĐT sinh thái Vinhomes Riverside, P.Việt Hưng, Q.Long Biên, TP.Hà Nội",0101245486,Hà Nội,VIC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIC
92,Tập đoàn Dệt may,,"25 Bà Triệu, Quận Hoàn Kiếm, Hà Nội",0100100008,Hà Nội,VGT,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VGT
93,TCT Sông Đà,,"Tòa nhà Sông Đà, đường Phạm Hùng - Quận Nam Từ Liêm - Hà Nội",0100105870,Hà Nội,SJG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SJG
105,Tập đoàn FPT,,Số 17 phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - Hà Nội.,0101248141,Hà Nội,FPT,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FPT
110,Tập đoàn Công nghiệp - Viễn thông quân đội,,"Lô D26 Khu đô thị mới Cầu Giấy, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",0100109106,Hà Nội,VTK,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VTK
155,Ngân hàng TMCP An Bình,,"170 Hai Bà Trưng, P.Đa Kao, Quận 1, Hồ Chí Minh",0301412222,TP Hồ Chí Minh,ABB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ABB
156,CÔNG TY CP SỮA VIỆT NAM,,Số 10 Tân Trào - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,0300588569,TP Hồ Chí Minh,VNM,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VNM
157,CÔNG TY CP TẬP ĐOÀN HOA SEN,,183 Nguyễn Văn Trỗi - Phường 10 - Quận Phú Nhuận - TP Hồ Chí Minh,3700381324,TP Hồ Chí Minh,HSG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HSG
158,Ngân hàng TMCP xuất nhập khẩu Việt Nam,,"Tầng 8, tòa nhà Vincom Center, 72 Lê Thánh Tôn,P.Bến Nghé,Quận 1,TP. Hồ Chí Minh",0301179079,TP Hồ Chí Minh,EIB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=EIB
162,Ngân hàng TMCP á châu,,"442 Nguyễn Minh Khai, Phường 5, Quận 3, TP. Hồ Chí Minh",0301452948,TP Hồ Chí Minh,ACB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACB
163,Ngân hàng Thương Mại Cổ Phần Nam á,,"201-203 Cách mạng tháng tám, Phường 4, Quận 3, Tp Hồ Chí Minh, VN",0300872315,TP Hồ Chí Minh,NAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NAB
164,Ngân hàng TMCP Sài Gòn Thương Tín,,"266-268 Nam Kỳ Khởi Nghĩa, P8, Q3, Tp.Hồ Chí Minh",0301103908,TP Hồ Chí Minh,STB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=STB
166,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN,,Số 187 Nguyễn Chí Thanh - Phường 12 - Quận 5 - TP. Hồ Chí Minh,0300583659,TP Hồ Chí Minh,SAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAB
167,CÔNG TY CP DU LỊCH VÀ TIẾP THỊ GIAO THÔNG VẬN TẢI VIỆT NAM - VIETRAVEL,,190 Pasteur - Phường 6 - Quận 3 - TP. Hồ Chí Minh,0300465937,TP Hồ Chí Minh,VTR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VTR
168,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM,,Tầng 4 - tòa nhà PetroVietnam - 1 - 5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,0305097236,TP Hồ Chí Minh,PGS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGS
171,Tổng Công ty Cảng hàng không Việt Nam,,"Tòa nhà Tổng công ty Cảng hàng không Việt Nam, 58 Trường Sơn - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh",0311638525,TP Hồ Chí Minh,ACV,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACV
173,Công ty Cổ phần Công Nghệ - Viễn Thông Sài Gòn,,Lô 46 Công viên phần mềm Quang Trung-Phường Tân Chánh Hiệp-Quận 12-TP. Hồ Chí Minh,0302615063,TP Hồ Chí Minh,SGT,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SGT
175,NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN (VIETBANK),,"62A Cách Mạng Tháng Tám, Phường 6, Quận 3, TP.Hồ Chí Minh",2200269805,TP Hồ Chí Minh,VBB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VBB
177,CÔNG TY CP TẬP ĐOÀN MASAN,,"Tầng 8, Tòa nhà Central Plaza, 17 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",0303576603,TP Hồ Chí Minh,MSN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSN
178,NGÂN HÀNG TMCP SÀI GÒN,,"19 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",0311449990,TP Hồ Chí Minh,SCB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCB
179,NGÂN HÀNG TMCP PHÁT TRIỂN TP. HỒ CHÍ MINH,,25Bis Nguyễn Thị Minh Khai - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,0300608092,TP Hồ Chí Minh,HDB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HDB
