STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
197,Công Ty TNHH MTV Địa Vật Lý Giếng Khoan Dầu KHí,,"HC Tầng 10, Sailing Tower, 111A Pasteur,Quận 1, Tp Hồ Chí Minh",0305148138,TP Hồ Chí Minh,,
198,Công Ty TNHH Dịch Vụ EB,," 163 Phan Đăng Lưu, P1, Quận Phú Nhuận, thành phố Hồ Chí Minh",0105696842,TP Hồ Chí Minh,,
199,Công Ty TNHH Một Thành Viên Nguyễn Kim,,"63-65 Trần Hưng Đạo, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh",0302286281,TP Hồ Chí Minh,,
200,Công Ty TNHH CJ CGV Việt Nam,,"Hồ Chí Minh Lầu 10-11, Số 2 Bis 4-6, đường lê Thánh Tôn, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",0303675393,TP Hồ Chí Minh,,
201,Công Ty Liên Doanh TNHH Nippon Express Việt Nam,,"364 Cộng Hòa, P.13, Q.Tân Bình, TP.Hồ Chí Minh",0302065148,TP Hồ Chí Minh,,
202,Công Ty TNHH DKSH Việt Nam,,"23 Đại lộ Độc Lập, Khu công nghiệp Việt Nam - Singapore, Phường Bình Hòa, Thị xã Thuận An, Bình Dương",3700303206,Bình Dương,,
203,Công ty TNHH Formosa Taffeta Đồng Nai,,"Ấp 1, xã Nhựt Chánh, Huyện Bến Lức, Long An",1100102744,Long An,,
204,Công Ty TNHH MTV Dịch Vụ Kỹ Thuật Truyền Thông HTV (HTV-TMS ),,"9 Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",0311899774,TP Hồ Chí Minh,,
205,Công Ty TNHH L.C.S,,"102A Bùi Minh Trực, P6, Quận 8, Tp Hồ Chí Minh",0302999571,TP Hồ Chí Minh,,
206,Công Ty Cổ Phần Phần Mềm Viễn Thông Miền Nam,,136/12 Vườn Chuối - Phường 04 - Quận 3 - TP Hồ Chí Minh,0304006187,TP Hồ Chí Minh,,
207,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HOÀN HẢO,,"Lầu 3, FBA Tower, số 487-489 Điện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",0309541413,TP Hồ Chí Minh,,
208,Công Ty Cổ phần Dịch Vụ Dữ Liệu Công Nghệ Thông Tin Vina,,"Tòa nhà Helios, Lô 6, đường 03, CV Quang Trung, Q.12, Tp Hồ Chí Minh",0304851362,TP Hồ Chí Minh,,
209,Công ty Cổ Phần Phát triển Công nghệ Viễn Thông Tin Học Sun Việt (SUNVIET),,"2A Phan Thúc Duyện, Phường 4, Quận Tân BÌnh, Tp Hồ Chí Minh",0302246183,TP Hồ Chí Minh,,
210,Công ty Cổ phần Dịch vụ Bưu Chính Viễn Thông Sài Gòn,,"90 Đường số 8, khu dân cư Trung Sơn, xã Bình HƯng, Huyện BÌnh Chánh, Tp Hồ CHí Minh",0300849034,TP Hồ Chí Minh,,
211,Công ty TNHH Dịch vụ Viễn thông MK,,"128/12 đường Hùng Vương, phường 2, Quận 10, Tp Hồ Chí Minh",0311821231,TP Hồ Chí Minh,,
212,Công ty TNHH Một thành viên SAIGONTEL,," Lô 46, Công viên phần mềm Quang Trung phường Tân Chánh Hiệp, Quận 12, TP.Hồ Chí Minh.",0106684254,Hà Nội,,
213,Công ty TNHH phục vụ Hàng Không và Thương mại Việt Nam,,"Phòng 3, 4 Lầu 11, 65 lê Lợi, P bến Nghé, Quận 1, Tp Hồ Chí Minh",0302137353,TP Hồ Chí Minh,,
214,Công Ty TNHH Techdata Vina (Tên cũ Công ty Cổ phần TECHDATA Toàn  - MST: '0303707084),,"Số 14 Nguyễn Thị Thập, Khu Him Lam, Phường Tân Hưng, Quận 7, Tp.Hồ Chí Minh",0304258346,TP Hồ Chí Minh,,
215,Công Ty TNHH Manulife (Việt Nam ),,"75 Hoàng Văn Thái, P tân Phúm Quận 7, TP Hồ Chí Minh",0301774984,TP Hồ Chí Minh,,
216,Công Ty TNHH MTV Chứng Khoán Ngân Hàng Đông Á,,"Tầng 2 và tầng 3, Tòa nhà 468 Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp.Hồ Chí Minh",0302941973,TP Hồ Chí Minh,,
217,Chi cục Công nghệ Thông tin tại TP Hồ Chí Minh - Ngân hàng Nhà Nước Việt Nam,,"08 Võ Văn Kiệt, Quận 1, Tp Hồ Chí Minh",0306274897,TP Hồ Chí Minh,,
218,Công Ty TNHH Nestle Việt Nam,,"Số 7, đường 17A, KCN Biên hòa 2, Phường Long Bình, Tp biên hòa, ĐỒng Nai
Tầng  1, Số 41 Nguyễn Thị Minh Khai, Quận 1, Thành phố Hồ Chí Minh",3600235305,TP Hồ Chí Minh,,
219,Công Ty Cổ Phần Hỗ Trợ Dịch Vụ Thanh Toán Việt Phú,,"104 Mai Thị Lựu, P Đa Kao, Quận 1, Tp Hồ Chí Minh ",0305133050,TP Hồ Chí Minh,,
220,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam,,"Số 469,Đường Nguyễn Hữu Thọ, P tân Hưng Quận 7, Tp Hồ Chí Minh ",0304741634,TP Hồ Chí Minh,,
221,Công Ty Cổ phần Phân Phối MOET HENNESSY Việt Nam,,"Hồ Chí Minh lầu 4, Tòa nhà Opera View, 161 ĐỒng Khởi, Quận 1, Hồ Chí Minh",0309932537,TP Hồ Chí Minh,,
222,CÔNG TY CP TẬP ĐOÀN LỘC TRỜI,,23 Hà Hoàng Hổ - Phường Mỹ Xuyên - TP. Long Xuyên - Tỉnh An Giang,1600192619,An Giang,LTG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LTG
223,CÔNG TY CP LEC GROUP,,"Đường Số 4, Khu công nghiệp Phú Mỹ 1 - Phường Phú Mỹ - Thị xã Phú Mỹ - Tỉnh Bà Rịa-Vũng Tàu",3502380495,Bà Rịa - Vũng Tàu,,
224,CÔNG TY TNHH BACONCO,,KCN Phú Mỹ 1-Thị trấn Phú Mỹ-Huyện Tân Thành-Tỉnh Bà Rịa-Vũng Tàu,3500101065,Bà Rịa - Vũng Tàu,,
225,CÔNG TY TNHH LIÊN DOANH ỐNG THÉP SENDO,,"Đường 1A, Khu công nghiệp Phú Mỹ I - Phường Phú Mỹ - Thị Xã Phú Mỹ - Tỉnh Bà Rịa-Vũng Tàu",3502280821,Bà Rịa - Vũng Tàu,,
226,CÔNG TY TNHH MTV DỊCH VỤ CƠ KHÍ HÀNG HẢI PTSC,,Số 31 Đường 30/4 - Phường 9 - TP. Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu,3500790168,Bà Rịa - Vũng Tàu,,
227,LIÊN DOANH VIỆT - NGA VIETSOVPETRO,,105 Lê Lợi - Phường Thắng nhì - TP. Vũng Tàu - Tỉnh Bà Rịa Vũng Tàu,3500102414,Bà Rịa - Vũng Tàu,,
228,TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,,265 Lê Hồng Phong - Phường 8 - TP. Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu,3500101107,Bà Rịa - Vũng Tàu,DIG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DIG
229,CÔNG TY CP DẦU KHÍ THÁI DƯƠNG,,Lô D1 KCN Đình Trám-Xã Hoàng Ninh-Huyện Việt Yên-Tỉnh Bắc Giang,2400345718,Bắc Giang,TDG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TDG
230,CÔNG TY CP HANACANS,,Khu công nghiệp HANAKA - Phường Đồng Nguyên - TP. Từ Sơn - Tỉnh Bắc Ninh,2300372796,Bắc Ninh,,
231,CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,,35 Đường Lý Thái Tổ - TP. Bắc Ninh - Tỉnh Bắc Ninh,2300105790,Bắc Ninh,DBC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DBC
232,CÔNG TY CP TẬP ĐOÀN TONMAT,,"Đường TS5 - KCN Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",2300238060,Bắc Ninh,,
233,CÔNG TY CP TIẾN HƯNG,,KCN Tiên Sơn - Xã Hoàn Sơn - Huyện Tiên Du - Tỉnh Bắc Ninh,2300223949,Bắc Ninh,,
234,CÔNG TY CP ĐÔNG HẢI BẾN TRE,,"Lô AIII, KCN Giao Long - Xã An Phước - Huyện Châu Thành - Tỉnh Bến Tre",1300358260,Bến Tre,DHC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DHC
235,CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,,"Lô A36, A37 KCN An Hiệp - Xã An Hiệp - Huyện Châu Thành - Tỉnh Bến Tre",1300230895,Bến Tre,,
236,CÔNG TY CP PHÚ TÀI,,278 Nguyễn Thị Định - Phường Nguyễn Văn Cừ - TP. Quy Nhơn - Tỉnh Bình Định,4100259236,Bình Định,PTB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PTB
237,BMB STEEL,,"Thửa đất số 214, Tờ bản đồ số 22, Khu phố Long Bình - Phường Khánh Bình - Thị xã Tân Uyên - Bình Dương",3700778489,Bình Dương,,
238,CÔNG TY CP BÊ TÔNG LY TÂM THỦ ĐỨC 1,,234 Đường Đt 747 ấp Tân Lương-Xã Thạnh Phước-Huyện Tân Uyên-Tỉnh Bình Dương,3700912751,Bình Dương,,
239,CÔNG TY CP CAO SU PHƯỚC HÒA,,Xã Phước Hoà - Huyện Phú Giáo - Tỉnh Bình Dương,3700147532,Bình Dương,PHR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PHR
240,CÔNG TY CP CÔNG NGHIỆP ĐÔNG HƯNG,,Lô 3.2 - Đường số 2 - KCN Tân Đông Hiệp A - Phường Tân Đông Hiệp - Thị xã Dĩ An - Tỉnh Bình Dương,3700820571,Bình Dương,,
241,CÔNG TY CP ĐẦU TƯ THÁI BÌNH,,Số 5a - Xa Lộ Xuyên á - Xã An Bình - Huyện Dĩ An - Tỉnh Bình Dương,3700148737,Bình Dương,,
242,CÔNG TY CP GỖ AN CƯỜNG,,"Thửa đất 681, Tờ bản đồ 05, Đường ĐT 747B, Khu phố Phước Hải, Phường Thái Hoà, Thị xã Tân Uyên, Tỉnh Bình Dương",3700748131,Bình Dương,ACG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACG
243,CÔNG TY CP KHOÁNG SẢN VÀ XÂY DỰNG BÌNH DƯƠNG,,Đại lộ Bình Dương - Khu phố Hòa Lân I - Phường Thuận Giao - TP. Thuận An - Tỉnh Bình Dương,3700148825,Bình Dương,KSB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KSB
244,CÔNG TY CP NHỰA BẢO VÂN,,99/2 Khu Phố Bình Đáng - Phường Bình Hòa - Huyện Thuận An - Tỉnh Bình Dương,3700257662,Bình Dương,,
245,CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,,11 Ngô Văn Trị-Phường Phú Lợi-TP. Thủ Dầu Một-Tỉnh Bình Dương,3700145694,Bình Dương,BWE,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BWE
246,CÔNG TY CP PHÁT TRIỂN HẠ TẦNG KỸ THUẬT,,"Tầng 15, Becamex Tower, 230 Đại lộ Bình Dương - Phường Phú Hòa - TP. Thủ Dầu Một - Tỉnh Bình Dương",3700805566,Bình Dương,IJC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IJC
247,CÔNG TY CP THÉP NAM KIM,,"Lô A1, Đường Đ2, KCN Đồng An 2 - Phường Hòa Phú - TP. Thủ Dầu Một - Tỉnh Bình Dương",3700477019,Bình Dương,NKG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NKG
248,CÔNG TY CP THỰC PHẨM Á CHÂU,,"Số 9/2, đường ĐT 743, Khu phố 1B - Phường An Phú - Thị xã Thuận An - Tỉnh Bình Dương",3700150020,Bình Dương,,
249,CÔNG TY CP TÔN ĐÔNG Á,,"Số 5, Đường số 5 - KCN Sóng Thần 1 - Thị xã Dĩ An - Huyện Dĩ An - Tỉnh Bình Dương",3700255880,Bình Dương,,
250,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,,Khu phố Bình Đức 1 - Phường Bình Hòa - Thị xã Thuận An - Tỉnh Bình Dương,3700229344,Bình Dương,,
251,CÔNG TY TNHH KIMBERLY CLARK VIỆT NAM,,36 Đại Lộ Hữu Nghị Visip 1 - Xã Bình Hòa - Huyện Thuận An - Tỉnh Bình Dương,0100114522,Bình Dương,,
252,CÔNG TY TNHH LIÊN DOANH SẢN XUẤT ÔTÔ NGÔI SAO,,Xã An Binh - Huyện Dĩ An - Tỉnh Bình Dương,3700229030,Bình Dương,,
253,CÔNG TY TNHH THỨC ĂN GIA SÚC LÁI THIÊU,,48B Khu phố Hòa Long - Phường Lái Thiêu - Thị xã Thuận An - Tỉnh Bình Dương,3700149709,Bình Dương,,
254,CÔNG TY TNHH THỰC PHẨM ORION VINA,,Lô E-13-CN Đường NA3 - KCN Mỹ Phước 2 - Phường Mỹ Phước - Thị xã Bến Cát - Tỉnh Bình Dương,3700667933,Bình Dương,,
255,CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,,"Số 16-18-20, Đường ĐT 743, KCN Sóng Thần 2 - Thị trấn Dĩ An - Huyện Dĩ An - Tỉnh Bình Dương",3700306630,Bình Dương,,
256,CÔNG TY TNHH URC VIỆT NAM,,"Số 42 VSIP, Đại Lộ Tự Do, KCN Việt Nam-Singapore - Phường An Phú - Thị xã Thuận An  - Tỉnh Bình Dương",3700549827,Bình Dương,,
257,TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,,Số 8 Hùng Vương - Phường Hòa Phú - TP. Thủ Dầu Một - Tỉnh Bình Dương,3700145020,Bình Dương,BCM,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BCM
258,TỔNG CÔNG TY THƯƠNG MẠI XUẤT NHẬP KHẨU THANH LỄ - CTCP,,Số 63 Đường Yersin - Phường Hiệp Thành - TP. Thủ Dầu Một - Tỉnh Bình Dương,3700146458,Bình Dương,TLP,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TLP
259,CÔNG TY CP TẬP ĐOÀN THỦY SẢN MINH PHÚ,,KCN Phường 8 - Phường 8 - TP. Cà Mau - Tỉnh Cà Mau,2000393273,Cà Mau,MPC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MPC
260,CÔNG TY CP GENTRACO,,121 Nguyễn Thái Học - Phường Thốt Nốt - Quận Thốt Nốt - TP. Cần Thơ,1800241743,Cần Thơ,,
261,CÔNG TY CP SADICO CẦN THƠ,,366E Cách Mạng Tháng 8 - Phường Bùi Hữu Nghĩa - Quận Bình Thuỷ - TP. Cần Thơ,1800155452,Cần Thơ,SDG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SDG
262,CÔNG TY CP VẬT TƯ HẬU GIANG,,184 Trần Hưng Đạo - Phường An Nghiệp - Quận Ninh Kiều - TP. Cần Thơ,1800506679,Cần Thơ,HAM,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HAM
263,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,,29 Cách Mạng Tháng Tám - Phường Thới Bình - Quận Ninh Kiều - TP. Cần Thơ,1800157562,Cần Thơ,,
264,CÔNG TY CP ĐẦU TƯ HẠ TẦNG GIAO THÔNG ĐÈO CẢ,,27 Bùi Chát - Phường Hòa Khánh Bắc - Quận Liên Chiểu - TP. Đà Nẵng,0400101965,Đà Nẵng,HHV,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HHV
265,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH THÉP NHÂN LUẬT,,Quốc lộ 1A-Xã Hòa Châu-Huyện Hòa Vang-TP. Đà Nẵng,0400102616,Đà Nẵng,,
266,CÔNG TY CP KỸ THUẬT XÂY DỰNG DINCO,,76-78 Bạch Đằng - Phường Hải Châu I - Quận Hải Châu - TP. Đà Nẵng,0400461301,Đà Nẵng,,
267,CÔNG TY CP THÉP ASEAN,,Khu công nghiệp Hoà Phú - Xã Hòa Phú - TP. Buôn Ma Thuột - Tỉnh Đắk Lắk,6000746180,Đắk Lắk,,
268,CÔNG TY TNHH MTV XUẤT NHẬP KHẨU 2/9 ĐẮK LẮK,,23 Ngô Quyền - Phường Thắng Lợi - TP. Buôn Ma Thuột - Tỉnh Đắk Lắk,6000234538,Đắk Lắk,,
269,CÔNG TY TNHH OLAM VIỆT NAM,,Đường Lê Duẩn - Phường Nghĩa Tân - Thị Xã Gia Nghĩa - Tỉnh Đăk Nông,6000346337,Đắk Nông,,
270,CÔNG TY CỔ PHẦN MẠC TÍCH,,"Đường số 2, KCN Nhơn Trạch III, Giai đoạn 2 - Xã Long Thọ - Huyện Nhơn Trạch - Tỉnh Đồng Nai",0301096513,Đồng Nai,,
271,CÔNG TY CP DỆT RENZE,,"KCN Nhơn Trạch 5, Thị trấn Hiệp Phước - Huyện Nhơn Trạch - Tỉnh Đồng Nai.",3600852146,Đồng Nai,,
272,CÔNG TY CP DINH DƯỠNG NÔNG NGHIỆP QUỐC TẾ,,Lô A4 KCN Sông Mây-Xã Bắc Sơn-Huyện Trảng Bom-Tỉnh Đồng Nai,3600618918,Đồng Nai,,
273,CÔNG TY CP GẠCH MEN V.T.C,,Lô 9 Khu Công Nghiệp Gò Dầu - Xã Phước Thái - Huyện Long Thành - Tỉnh Đồng Nai,3600723398,Đồng Nai,,
274,CÔNG TY CP HỮU HẠN VEDAN VIỆT NAM,,"Quốc lộ 51, Ấp 1A - Xã Phước Thái - Huyện Long Thành - Tỉnh Đồng Nai",3600239719,Đồng Nai,,
275,CÔNG TY CP TẬP ĐOÀN THÉP TIẾN LÊN,,G1A - KP4 - Đường Đồng Khởi - Phường Tân Hiệp - TP. Biên Hòa - Tỉnh Đồng Nai,3600512830,Đồng Nai,TLH,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TLH
276,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ DẦU KHÍ HẢI PHÁT,,"Số 26E, Khu phố 1 - Phường Quang Vinh - TP. Biên Hoà - Tỉnh Đồng Nai",3603262480,Đồng Nai,,
277,CÔNG TY CP TỔNG CÔNG TY MAY ĐỒNG NAI,,Đường số 2 KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,3600506058,Đồng Nai,,
278,CÔNG TY CP TỔNG CÔNG TY TÍN NGHĨA,,96 Hà Huy Giáp - Phường Quyết Thắng - TP. Biên Hòa - Tỉnh Đồng Nai,3600283394,Đồng Nai,TID,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TID
279,CÔNG TY CP TRUNG ĐÔNG,,Cụm Công Nghiệp Tam Phước 1 - Phường Tam Phước - TP. Biên Hòa - Tỉnh Đồng Nai,3600669165,Đồng Nai,,
280,CÔNG TY CP VIỆT - PHÁP SẢN XUẤT THỨC ĂN GIA SÚC (PROCONCO),,Đường số 9 - KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,3600234534,Đồng Nai,,
281,CÔNG TY CP XĂNG DẦU TÍN NGHĨA,,"95A đường Cách mạng Tháng 8, Phường Quyết Thắng, thành phố Biên Hòa, tỉnh Đồng Nai, Việt Nam",3601038204,Đồng Nai,,
282,CÔNG TY TNHH DINH DƯỠNG Á CHÂU (VN),,KCN Sông Mây - Xã Bắc Sơn - Huyện Trảng Bom - Tỉnh Đồng Nai,3600233805,Đồng Nai,,
283,CÔNG TY TNHH GROBEST INDUSTRIAL (VIỆT NAM),,Số 9 Đường 3 A - Phường Long Bình - TP. Biên Hòa - Tỉnh Đồng Nai,3600456424,Đồng Nai,,
284,CÔNG TY TNHH HOÀNG ĐẠI VƯƠNG,,"Đường D2, Cụm Công Nghiệp Hố Nai 3 - Xã Hố Nai 3 - Huyện Trảng Bom - Tỉnh Đồng Nai",3600697236,Đồng Nai,,
285,CÔNG TY TNHH NHỰA VÀ HÓA CHẤT TPC VINA,,KCN Gò Dầu - Huyện Long Thành - Tỉnh Đồng Nai,3600248368,Đồng Nai,,
286,CÔNG TY TNHH VINA,,Số 64 Quốc lộ 51 - Xã Phước Tân - TP. Biên Hòa - Tỉnh Đồng Nai,3600364780,Đồng Nai,,
287,CÔNG TY TNHH XUẤT NHẬP KHẨU VI NA ĐẠI VIỆT,,"Số 292, Đường Võ Thị Sáu, KP 7 - Phường Thống Nhất - TP. Biên Hoà - Tỉnh Đồng Nai",3602576702,Đồng Nai,,
288,CÔNG TY TÔN PHƯƠNG NAM,,Đường Số 9 - KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,3600236891,Đồng Nai,,
289,TỔNG CÔNG TY CP PHÁT TRIỂN KHU CÔNG NGHIỆP,,"Số 1, Đường 1, KCN Biên Hoà 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai",3600335363,Đồng Nai,SNZ,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SNZ
290,Công ty Cổ phần DNP Holding,,Đường 9 KCN Nhơn Trạch 1-Phường An Bình-TP. Biên Hòa-Tỉnh Đồng Nai,3600662561,Đồng Nai,DNP,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DNP
291,CÔNG TY CP ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN,,Quốc lộ 80 Cụm CN Vàm Cống-An Thạnh-Xã Bình Thành-Huyện Lấp Vò-Tỉnh Đồng Tháp,1600895650,Đồng Tháp,,
292,CÔNG TY CP VĨNH HOÀN,,Quốc Lộ 30 - Phường 11 - TP. Cao Lãnh - Tỉnh Đồng Tháp,1400112623,Đồng Tháp,VHC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VHC
293,CÔNG TY TNHH CỎ MAY LAI VUNG,,"Lô 18-19, khu công nghiệp Sông Hậu - Xã Tân Thành - Huyện Lai Vung - Tỉnh Đồng Tháp",1401598685,Đồng Tháp,,
294,CÔNG TY TNHH MTV THỨC ĂN THỦY SẢN MEKONG,,Ấp Tân Cường - Xã Phú Cường - Huyện Tam Nông - Tỉnh Đồng Tháp,1401934305,Đồng Tháp,,
295,CÔNG TY TNHH PHÁT TÀI,,Số 69 Quốc lộ 80 - Ấp Bình Phú Quới - Thị trấn Lấp Vò - Huyện Lấp Vò - Tỉnh Đồng Tháp,1400105785,Đồng Tháp,,
296,CÔNG TY TNHH SAO MAI SUPER FEED,,"Cụm Công nghiệp Vàm Cống, Ấp An Thạnh - Xã Bình Thành - Huyện Lấp Vò - Tỉnh Đồng Tháp",1401976866,Đồng Tháp,,
297,CÔNG TY TNHH THƯƠNG MẠI-DỊCH VỤ-XUẤT NHẬP KHẨU TƯỜNG NGUYÊN,,"Số 138, Quốc lộ 30, khóm An Thạnh A - Phường An Lộc - TP. Hồng Ngự - Tỉnh Đồng Tháp",1400683063,Đồng Tháp,,
298,CÔNG TY TNHH LOUIS DREYFUS COMMODITIES VIỆT NAM,,Lô A11 - KCN Trà Đa - Xã Trà Đa - TP. Pleiku - Tỉnh Gia Lai,5900424466,Gia Lai,,
299,CÔNG TY TNHH VĨNH HIỆP,,"404 Lê Duẩn, phường Thắng Lợi, TP Pleiku, tỉnh Gia Lai, Việt Nam",5900315114,Gia Lai,,
300,CÔNG TY CP DINH DƯỠNG HỒNG HÀ,,KCN Đồng Văn - Phường Đồng Văn - Thị xã Duy Tiên - Tỉnh Hà Nam,0700220547,Hà Nam,,
301,CÔNG TY CP NHỰA CHÂU ÂU,,Khu Công nghiệp Đồng Văn - Phường Đồng Văn - Thị Xã Duy Tiên - Tỉnh Hà Nam,0700253609,Hà Nam,,
302,CÔNG TY CP XI MĂNG XUÂN THÀNH,,Thôn Bồng Lạng - Xã Thanh Nghị - Huyện Thanh Liêm - Tỉnh Hà Nam,0700576529,Hà Nam,,
303,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HACOM,,129 + 131 Lê Thanh Nghị - Phường Đồng Tâm - Quận Hai Bà Trưng - TP. Hà Nội,0101161194,Hà Nội,,
304,CÔNG TY CỔ PHẦN ĐẦU TƯ EVERLAND,,"Tầng 3, Tòa nhà 97-99 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",0104228175,Hà Nội,EVG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=EVG
305,CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,,Số 72 Trường Chinh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội,0101508664,Hà Nội,INN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=INN
306,CÔNG TY CP BẤT ĐỘNG SẢN THẾ KỶ,,"Tầng 1, Số 137 Nguyễn Ngọc Vũ - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội",0101160306,Hà Nội,CRE,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CRE
307,CÔNG TY CP BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,,87-89 Hạ Đình - Phường Thanh Xuân Trung - Quận Thanh Xuân - TP. Hà Nội,0101526991,Hà Nội,RAL,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=RAL
308,CÔNG TY CP CAO SU SAO VÀNG,,Số 231 Nguyễn Trãi - Phường Thượng Đình - Quận Thanh Xuân - TP. Hà Nội,0100100625,Hà Nội,SRC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SRC
309,CÔNG TY CP CASPER VIỆT NAM,,"B12A-12B, Vinhomes Gardenia, đường Hàm Nghi - Phường Cầu Diễn - Quận Nam Từ Liêm - TP. Hà Nội",0107009894,Hà Nội,,
310,CÔNG TY CP CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,,"Tầng 1-5, Tòa nhà Unimex Hà Nội, Số 41 Ngô Quyền - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội",0102524651,Hà Nội,SHS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHS
311,CÔNG TY CP CHỨNG KHOÁN VPS,,65 Cảm Hội - Quận Hai Bà Trưng - TP. Hà Nội,0104979904,Hà Nội,,
312,CÔNG TY CP CƠ ĐIỆN TRẦN PHÚ,,Số 41 Phố Phương Liệt - Phường Phương Liệt - Quận Thanh Xuân - TP. Hà Nội,0100106063,Hà Nội,,
313,CÔNG TY CP CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,,"Tầng 18, Tòa nhà Peakview Tower, 36 Hoàng Cầu - Phường Ô Chợ Dừa - Quận Đống Đa - TP. Hà Nội",0105837941,Hà Nội,,
314,CÔNG TY CP ĐẠI HỮU,,"( Xóm Đồng Văn Điển Tứ Hiệp Thanh Trì) Cụm Công Nghiệp Xã Quất Động Huyện Thường Tín, Thành Phố Hà Nội",0101206367,Hà Nội,,
315,CÔNG TY CP ĐẦU TƯ & PHÁT TRIỂN CÔNG NGHỆ QUỐC GIA ADG,,"Số 42+44,Ngụy Như Kon Tum, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",0102023052,Hà Nội,,
